"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-1.874978,52.476145,171,2020-07-20,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",36.1353375
-3.205782,55.862281,171,2020-07-20,3,"BUSH","Bush Estate","Rural Background",47.9543154166667
-1.560189,52.411628,171,2020-07-20,4,"COAL","Coventry Allesley","Urban Background",45.8151754166667
-3.182186,55.945589,171,2020-07-20,7,"ED3","Edinburgh St Leonards","Urban Background",37.6113241666667
-5.101102,56.82266,171,2020-07-20,8,"FW","Fort William","Suburban Background",46.4356179166667
-4.243631,55.865782,171,2020-07-20,9,"GLKP","Glasgow Townhead","Urban Background",40.53475
-0.460861,51.49633,171,2020-07-20,10,"HIL","London Hillingdon","Urban Background",48.8960370833333
-0.341222,53.74878,171,2020-07-20,11,"HUL2","Hull Freetown","Urban Background",47.24612
-1.127182,52.619904,171,2020-07-20,12,"LECU","Leicester University","Urban Background",37.61478875
-2.73684,52.221593,171,2020-07-20,13,"LEOM","Leominster","Suburban Background",41.31792
-7.900328,54.43951,171,2020-07-20,14,"LN","Lough Navar","Rural Background",29.8987745833333
-2.238917,53.371722,171,2020-07-20,15,"MAHG","Manchester Sharston","Suburban Industrial",34.9199004166667
-2.237881,53.48152,171,2020-07-20,16,"MAN3","Manchester Piccadilly","Urban Background",31.62006625
-9.903917,53.326444,171,2020-07-20,17,"MH","Mace Head","Rural Background",51.28200625
-1.610528,54.97825,171,2020-07-20,18,"NEWC","Newcastle Centre","Urban Background",36.611395
1.302686,52.614823,171,2020-07-20,19,"NO12","Norwich Lakenfields","Urban Background",42.6941220833333
-1.146447,52.95473,171,2020-07-20,20,"NOTT","Nottingham Centre","Urban Background",40.6256633333333
-0.916605,52.272257,171,2020-07-20,21,"NTN4","Northampton Spring Park","Urban Background",49.6950104166667
1.04901,51.777874,171,2020-07-20,22,"OSY","St Osyth","Rural Background",49.92299125
-3.196527,55.657472,171,2020-07-20,23,"PEEB","Peebles","Urban Background",45.21022875
-4.142361,50.37167,171,2020-07-20,24,"PLYM","Plymouth Centre","Urban Background",46.4014116666667
0.678331,51.544166,171,2020-07-20,25,"SEND","Southend-on-Sea","Urban Background",49.2633008333333
1.463497,52.2944,171,2020-07-20,26,"SIB","Sibton","Rural Background",48.327125
-2.175133,53.02821,171,2020-07-20,27,"STOK","Stoke-on-Trent Centre","Urban Background",36.2111095652174
-1.406878,54.88361,171,2020-07-20,28,"SUN2","Sunderland Silksworth","Urban Background",42.3261641666667
-3.022722,53.37287,171,2020-07-20,29,"TRAN","Wirral Tranmere","Urban Background",51.173075
-2.030371,52.605641,171,2020-07-20,30,"WAL4","Walsall Woodlands","Urban Background",42.9047791666667
0.290917,52.2985,171,2020-07-20,31,"WFEN","Wicken Fen","Rural Background",42.1078854166667
-2.638139,53.54914,171,2020-07-20,32,"WIG5","Wigan Centre","Urban Background",42.0545275
-3.2429,55.79216,172,2020-07-21,1,"ACTH","Auchencorth Moss","Rural Background",49.97219125
-1.874978,52.476145,172,2020-07-21,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",33.9220508333333
-3.205782,55.862281,172,2020-07-21,3,"BUSH","Bush Estate","Rural Background",52.1813191666667
-1.560189,52.411628,172,2020-07-21,4,"COAL","Coventry Allesley","Urban Background",43.65871
-3.182186,55.945589,172,2020-07-21,7,"ED3","Edinburgh St Leonards","Urban Background",44.0640875
-5.101102,56.82266,172,2020-07-21,8,"FW","Fort William","Suburban Background",46.9908108333333
-4.243631,55.865782,172,2020-07-21,9,"GLKP","Glasgow Townhead","Urban Background",41.7518016666667
-0.460861,51.49633,172,2020-07-21,10,"HIL","London Hillingdon","Urban Background",47.63833
-0.341222,53.74878,172,2020-07-21,11,"HUL2","Hull Freetown","Urban Background",48.386025
-1.127182,52.619904,172,2020-07-21,12,"LECU","Leicester University","Urban Background",40.6256620833333
-2.73684,52.221593,172,2020-07-21,13,"LEOM","Leominster","Suburban Background",38.5752191666667
-7.900328,54.43951,172,2020-07-21,14,"LN","Lough Navar","Rural Background",30.7767445833333
-2.238917,53.371722,172,2020-07-21,15,"MAHG","Manchester Sharston","Suburban Industrial",31.30200125
-2.237881,53.48152,172,2020-07-21,16,"MAN3","Manchester Piccadilly","Urban Background",25.2040291666667
-9.903917,53.326444,172,2020-07-21,17,"MH","Mace Head","Rural Background",58.0682175
