"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-1.146447,52.95473,189,2020-08-07,20,"NOTT","Nottingham Centre","Urban Background",5.78720833333333
-1.260278,51.744806,189,2020-08-07,21,"OX8","Oxford St Ebbes","Urban Background",4.30820833333333
-2.680353,53.76559,189,2020-08-07,22,"PRES","Preston","Urban Background",4.91458333333333
0.634889,51.45617,189,2020-08-07,23,"ROCH","Rochester Stoke","Rural Background",11.7040416666667
0.678331,51.544166,189,2020-08-07,24,"SEND","Southend-on-Sea","Urban Background",9.12933333333333
-1.478096,53.378622,189,2020-08-07,25,"SHDG","Sheffield Devonshire Green","Urban Background",4.47129166666667
-1.395757,50.908173,189,2020-08-07,26,"SOUT","Southampton Centre","Urban Background",10.2437916666667
-1.406878,54.88361,189,2020-08-07,27,"SUN2","Sunderland Silksworth","Urban Background",3.91408333333333
-3.022722,53.37287,189,2020-08-07,28,"TRAN","Wirral Tranmere","Urban Background",3.06708695652174
-2.638139,53.54914,189,2020-08-07,29,"WIG5","Wigan Centre","Urban Background",4.298375
-3.002829,53.042282,189,2020-08-07,30,"WREX","Wrexham","Urban Traffic",3.755
-2.094278,57.15736,190,2020-08-08,1,"ABD","Aberdeen","Urban Background",3.01975
-3.2429,55.79216,190,2020-08-08,2,"ACTH","Auchencorth Moss","Rural Background",2.04704166666667
-5.928833,54.59965,190,2020-08-08,3,"BEL2","Belfast Centre","Urban Background",6.00533333333333
-1.874978,52.476145,190,2020-08-08,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",4.90954166666667
-3.007175,53.80489,190,2020-08-08,5,"BLC2","Blackpool Marton","Urban Background",3.59466666666667
-1.918235,52.481346,190,2020-08-08,6,"BMLD","Birmingham Ladywood","Urban Background",4.49891666666667
-1.454946,53.244131,190,2020-08-08,7,"CHLG","Chesterfield Loundsley Green","Urban Background",3.70970833333333
-1.456928,53.231751,190,2020-08-08,8,"CHS7","Chesterfield Roadside","Urban Traffic",4.009375
-1.560189,52.411628,190,2020-08-08,9,"COAL","Coventry Allesley","Urban Background",4.49879166666667
-2.334139,53.48481,190,2020-08-08,10,"ECCL","Salford Eccles","Urban Background",4.23541666666667
-3.182186,55.945589,190,2020-08-08,11,"ED3","Edinburgh St Leonards","Urban Background",2.53541666666667
-4.238214,55.860936,190,2020-08-08,12,"GHSR","Glasgow High Street","Urban Traffic",2.95704166666667
-4.734421,55.944079,190,2020-08-08,13,"GKA8","Greenock A8 Roadside","Urban Traffic",3.23925
-4.243631,55.865782,190,2020-08-08,14,"GLKP","Glasgow Townhead","Urban Background",2.98554166666667
-0.037418,51.449674,190,2020-08-08,15,"HP1","London Honor Oak Park","Urban Background",19.9332916666667
-0.213492,51.52105,190,2020-08-08,16,"KC1","London N. Kensington","Urban Background",12.5629166666667
-1.533119,52.28881,190,2020-08-08,17,"LEAM","Leamington Spa","Urban Background",3.94845833333333
-7.900328,54.43951,190,2020-08-08,18,"LN","Lough Navar","Rural Background",1.476875
1.302686,52.614823,190,2020-08-08,19,"NO12","Norwich Lakenfields","Urban Background",10.9669583333333
-1.146447,52.95473,190,2020-08-08,20,"NOTT","Nottingham Centre","Urban Background",5.09433333333333
-1.260278,51.744806,190,2020-08-08,21,"OX8","Oxford St Ebbes","Urban Background",5.67408333333333
-2.680353,53.76559,190,2020-08-08,22,"PRES","Preston","Urban Background",3.882625
0.634889,51.45617,190,2020-08-08,23,"ROCH","Rochester Stoke","Rural Background",24.6158333333333
0.678331,51.544166,190,2020-08-08,24,"SEND","Southend-on-Sea","Urban Background",18.7019166666667
-1.478096,53.378622,190,2020-08-08,25,"SHDG","Sheffield Devonshire Green","Urban Background",5.12883333333333
-1.395757,50.908173,190,2020-08-08,26,"SOUT","Southampton Centre","Urban Background",9.61683333333333
-1.406878,54.88361,190,2020-08-08,27,"SUN2","Sunderland Silksworth","Urban Background",4.62266666666667
-3.022722,53.37287,190,2020-08-08,28,"TRAN","Wirral Tranmere","Urban Background",4.07529166666667
-2.638139,53.54914,190,2020-08-08,29,"WIG5","Wigan Centre","Urban Background",3.77845833333333
-3.002829,53.042282,190,2020-08-08,30,"WREX","Wrexham","Urban Traffic",6.03579166666667
-2.094278,57.15736,191,2020-08-09,1,"ABD","Aberdeen","Urban Background",4.32783333333333
-3.2429,55.79216,191,2020-08-09,2,"ACTH","Auchencorth Moss","Rural Background",2.853625
-5.928833,54.59965,191,2020-08-09,3,"BEL2","Belfast Centre","Urban Background",4.32308333333333
-1.874978,52.476145,191,2020-08-09,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",11.8329583333333
-3.007175,53.80489,191,2020-08-09,5,"BLC2","Blackpool Marton","Urban Background",8.19266666666667
-1.918235,52.481346,191,2020-08-09,6,"BMLD","Birmingham Ladywood","Urban Background",11.8632083333333
-1.454946,53.244131,191,2020-08-09,7,"CHLG","Chesterfield Loundsley Green","Urban Background",11.0387083333333
-1.456928,53.231751,191,2020-08-09,8,"CHS7","Chesterfield Roadside","Urban Traffic",12.3969166666667
-1.560189,52.411628,191,2020-08-09,9,"COAL","Coventry Allesley","Urban Background",11.5674166666667
-2.334139,53.48481,191,2020-08-09,10,"ECCL","Salford Eccles","Urban Background",10.3675
